113;lmc;FA;3373560;2021-09-01;BIOFINITY-TORIC-6;LENS;Biofinity Toric (6);4;21;0;21.00;84.00;0;0;84.00;5906954
544;lmc;FA;3373568;2021-09-01;BIOFINITY-TORIC-6;LENS;Biofinity Toric (6);4;21;0;21.00;84.00;0;0;84.00;5906700
533;lmc;FA;3373571;2021-09-01;CLARITI-1-DAY-90;LENS;Clariti 1 day (90);2;35.25;0;35.25;70.50;0;0;70.50;5907450
557;lmc;FA;3373573;2021-09-01;BIOFINITY-TORIC-6;LENS;Biofinity Toric (6);4;21;0;21.00;84.00;0;0;84.00;5907684
513;lmc;FA;3373575;2021-09-01;ACUVUE-OASYS-1-DAY-FOR-ASTIGMATISM-30;LENS;ACUVUE Oasys 1-Day For Astigmatism (30);4;17.6;0;17.60;70.40;0;0;70.40;5906488
003;lmc;FA;3373576;2021-09-01;PURE-VISION-2HD-TORIC-1;LENS;PureVision 2 HD for Astigmatism Trial (1);2;0;0;0.00;0.00;0;0;0.00;5850748
018;lmc;FA;3373579;2021-09-01;ULTRA-1;LENS;Ultra Trial (1);1;0;0;0.00;0.00;0;0;0.00;5906897
018;lmc;FA;3373579;2021-09-01;ULTRA-FOR-ASTIGMATISM-1;LENS;Ultra for Astigmatism Trial (1);1;0;0;0.00;0.00;0;0;0.00;5906897
559;lmc;FA;3373582;2021-09-01;ULTRA-FOR-ASTIGMATISM-1;LENS;Ultra for Astigmatism Trial (1);2;0;0;0.00;0.00;0;0;0.00;5903343
519;lmc;FA;3373584;2021-09-01;PROCLEAR-MULTIFOCAL-TORIC-XR;LENS;Proclear multifocal toric (6);2;64.9;0;64.90;129.80;0;0;129.80;5897531
104;lmc;FA;3373589;2021-09-01;BIOFINITY;LENS;Biofinity (6);1;14.5;0;14.50;14.50;0;0;14.50;5906392
104;lmc;FA;3373589;2021-09-01;BIOFINITY-TORIC-6;LENS;Biofinity Toric (6);1;21;0;21.00;21.00;0;0;21.00;5906392
014;lmc;FA;3373590;2021-09-01;BIOFINITY-TORIC;LENS;Biofinity Toric (3);2;11;0;11.00;22.00;0;0;22.00;5907019
011;lmc;FA;3373592;2021-09-01;BIOFINITY-TORIC-6;LENS;Biofinity Toric (6);2;21;0;21.00;42.00;0;0;42.00;5907682
507;lmc;FA;3373595;2021-09-01;ACUVUE-OASYS-FOR-ASTIGMATISM-12;LENS;ACUVUE Oasys for Astigmatism (12);2;33.2;0;33.20;66.40;0;0;66.40;5906699
521;lmc;FA;3373598;2021-09-01;ACUVUE-OASYS-FOR-ASTIGMATISM;LENS;ACUVUE Oasys for Astigmatism (6);2;18.5;0;18.50;37.00;0;0;37.00;5906677
